"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"pred[145]",0.024674465466002,-1.044055e-05,-0.00103215832969799,96,0.95,-0.000852683,0.00266862,NA,NA,NA,NA,NA,NA,NA
"pred[146]",0.02603327023111,-6.55908e-06,-0.00119984607102533,89.1,0.95,-0.00643023,0.000447874,NA,NA,NA,NA,NA,NA,NA
"pred[147]",-0.000821687470043,-4.637045e-06,4.73289810952182e-05,101.4,0.95,-0.00416545,0.00034485,NA,NA,NA,NA,NA,NA,NA
"pred[148]",-0.008204578424252,-2.49481e-07,-6.55432298103387e-05,124.8,0.95,-0.000296526,0.00098721,NA,NA,NA,NA,NA,NA,NA
"pred[149]",-0.007338585145246,-5.77798e-06,-0.000255798801176654,98.5,0.95,-0.000421789,0.00092427,NA,NA,NA,NA,NA,NA,NA
"pred[150]",-0.018384608538654,-9.700745e-06,0.000846840018901673,113.4,0.95,-0.00053035,0.00256957,NA,NA,NA,NA,NA,NA,NA
"pred[151]",-0.0336543753228822,-2.02743e-06,0.00058668291589985,105.9,0.95,-0.00337603,0.000504488,NA,NA,NA,NA,NA,NA,NA
"pred[152]",0.005572237875142,1.32973e-05,9.55555737667106e-05,64.8,0.95,-0.000395077,0.00499821,NA,NA,NA,NA,NA,NA,NA
"pred[153]",0.001639691021018,-3.67771e-06,0.000503811446721819,613.4,0.95,-0.00832625,0.000528368,NA,NA,NA,NA,NA,NA,NA
"pred[154]",0.008610339082722,7.334255e-06,-0.00064488533403473,98.5,0.95,-0.000538706,0.00088852,NA,NA,NA,NA,NA,NA,NA
"pred[155]",-0.043786820631078,-2.3709485e-06,-0.00232110188204748,97.6,0.95,-0.000807638,0.00474973,NA,NA,NA,NA,NA,NA,NA
"pred[156]",0.016107213388786,1.14642e-05,-0.000455476925842012,140.6,0.95,-0.00034481,0.00122861,NA,NA,NA,NA,NA,NA,NA
"pred[157]",0.016318910772412,-1.140785e-05,-0.000420986786868127,73,0.95,-0.00223519,0.000877838,NA,NA,NA,NA,NA,NA,NA
